省份,城市,确诊,疑似,死亡,治愈,,,,,,,,
贵州省,毕节,23,-,0,23,,,,,,,,
贵州省,黔南州,17,-,0,17,,,,,,,,
贵州省,六盘水,10,-,1,9,,,,,,,,
贵州省,铜仁,10,-,0,10,,,,,,,,
贵州省,黔东南州,10,-,0,10,,,,,,,,
贵州省,黔西南州,4,-,0,4,,,,,,,,
贵州省,安顺,4,-,0,4,,,,,,,,
贵州省,境外输入,1,-,0,1,,,,,,,,
新疆维吾尔自治区,乌鲁木齐,23,-,0,23,,,,,,,,
新疆维吾尔自治区,伊犁州,18,-,0,18,,,,,,,,
新疆维吾尔自治区,兵团第四师,10,-,1,9,,,,,,,,
新疆维吾尔自治区,兵团第九师,4,-,1,3,,,,,,,,
新疆维吾尔自治区,昌吉州,4,-,0,4,,,,,,,,
新疆维吾尔自治区,兵团第八师石河子,4,-,1,3,,,,,,,,
新疆维吾尔自治区,吐鲁番,3,-,0,3,,,,,,,,
新疆维吾尔自治区,兵团第十二师,3,-,0,3,,,,,,,,
新疆维吾尔自治区,巴州,3,-,0,3,,,,,,,,
新疆维吾尔自治区,兵团第六师五家渠,2,-,0,2,,,,,,,,
新疆维吾尔自治区,兵团第七师,1,-,0,1,,,,,,,,
新疆维吾尔自治区,阿克苏地区,1,-,0,1,,,,,,,,
宁夏回族自治区,银川,36,-,0,36,,,,,,,,
宁夏回族自治区,吴忠,28,-,0,28,,,,,,,,
宁夏回族自治区,固原,5,-,0,5,,,,,,,,
宁夏回族自治区,中卫,4,-,0,4,,,,,,,,
宁夏回族自治区,宁东,1,-,0,1,,,,,,,,
宁夏回族自治区,石嘴山,1,-,0,1,,,,,,,,
中国澳门,,46,-,0,45,,,,,,,,
青海省,西宁,15,-,0,15,,,,,,,,
青海省,海北州,3,-,0,3,,,,,,,,
